step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,2,1,0,0.0,0.0,0,0.0,57.5,1,562500.0,64.57561492919922,64.57561492919922,1,2,1,1,2,0,2,-105.0,70.5,-47.5,192878,0,32,1,0,0,5.0,289292,0.289292,nan,0.289292,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,0,0,1
3,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,0,562500.0,39.24651331601813,34.885571848033806,2,4,0,2,4,0,2,-105.0,70.5,-47.5,192878,1,32,2,1,1,5.0,578752,0.868044,nan,0.578752,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,168,1,2
4,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,1,562500.0,46.30206828579315,38.914226312006505,4,8,1,3,8,0,4,-105.0,70.5,-47.5,192878,2,32,4,2,3,5.0,868212,1.736256,nan,0.868212,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,336,2,3
5,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,1,562500.0,63.914377212524414,63.648582458496094,5,10,1,2,10,0,3,-105.0,70.5,-47.5,192878,5,32,5,3,4,5.0,579424,2.31568,nan,0.579424,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,840,5,2
6,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,2,562500.0,43.22365377255095,33.91117662845018,5,10,2,3,10,0,5,-105.0,70.5,-47.5,192878,3,32,5,2,3,5.0,868380,3.18406,nan,0.86838,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,504,3,3
7,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,1,562500.0,27.866409527152904,21.924356822324953,3,6,1,2,6,0,3,-105.0,70.5,-47.5,192878,3,32,3,2,3,5.0,579088,3.763148,nan,0.579088,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,504,3,2
8,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,2,562500.0,27.46230295476267,20.720643786353456,3,6,2,2,6,0,4,-105.0,70.5,-47.5,192878,3,32,3,2,2,5.0,579088,4.342236,nan,0.579088,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,504,3,2
9,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,0,562500.0,59.320152282714844,57.89350128173828,3,6,0,3,6,0,3,-105.0,70.5,-47.5,192878,2,32,3,2,2,5.0,868212,5.210448,nan,0.868212,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,336,2,3
10,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,3,562500.0,60.261929512023926,59.49662399291992,3,6,3,2,6,0,5,-105.0,70.5,-47.5,192878,2,32,3,2,3,5.0,578920,5.789368,nan,0.57892,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,336,2,2
