step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,2,1,0,0.0,0.0,0,0.0,57.5,1,562500.0,67.51023864746094,67.51023864746094,1,2,1,1,2,0,2,-105.0,70.5,-47.5,5.0,496084,0.496084,nan,0.496084,nan,1,144,289160,2,206648,2,1,132,64,16,68,17,33,1,0,0,1
3,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,1,562500.0,41.43776295564845,39.402659911975206,2,4,1,2,4,0,3,-105.0,70.5,-47.5,5.0,992096,1.48818,nan,0.992096,nan,2,216,578320,4,413296,4,2,264,128,32,136,34,66,2,0,0,2
4,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,0,562500.0,39.43544982269673,38.47631620158829,3,6,0,2,6,0,2,-105.0,70.5,-47.5,5.0,1198672,2.686852,nan,1.198672,nan,2,144,578320,4,619944,6,2,264,128,32,136,34,66,2,0,0,2
5,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,562500.0,39.464449519377524,35.46506056440259,5,10,0,2,10,0,2,-105.0,70.5,-47.5,5.0,1612040,4.298892,nan,1.61204,nan,2,216,578320,4,1033240,10,2,264,128,32,136,34,66,2,0,0,2
6,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,4,8,0,0,8,0,0,-105.0,70.5,-47.5,5.0,826592,5.125484,nan,0.826592,nan,0,0,0,0,826592,8,0,0,0,0,0,0,0,0,0,0,0
7,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,0,562500.0,38.23673053099175,33.12466653345739,3,6,0,2,6,0,2,-105.0,70.5,-47.5,5.0,1198672,6.324156,nan,1.198672,nan,2,144,578320,4,619944,6,2,264,128,32,136,34,66,2,0,0,2
8,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,0,562500.0,61.87619400024414,61.87619400024414,3,6,0,1,6,0,1,-105.0,70.5,-47.5,5.0,909380,7.233536,nan,0.90938,nan,1,144,289160,2,619944,6,1,132,64,16,68,17,33,1,0,0,1
9,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,0,562500.0,63.24755859375,63.24755859375,2,4,0,1,4,0,1,-105.0,70.5,-47.5,5.0,702660,7.936196,nan,0.70266,nan,1,72,289160,2,413296,4,1,132,64,16,68,17,33,1,0,0,1
10,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,2,562500.0,63.55891227722168,59.320037841796875,4,8,2,2,8,0,4,-105.0,70.5,-47.5,5.0,1405464,9.34166,nan,1.405464,nan,2,288,578320,4,826592,8,2,264,128,32,136,34,66,2,0,0,2
11,-47.5,57.5,22,11,0,0.0,0.0,0,0.0,57.5,2,562500.0,61.19607067108154,59.25,11,22,2,2,22,0,4,-105.0,70.5,-47.5,5.0,2852432,12.194092,nan,2.852432,nan,2,720,578320,4,2273128,22,2,264,128,32,136,34,66,2,0,0,2
12,-47.5,57.5,24,12,0,0.0,0.0,0,0.0,57.5,1,562500.0,67.06556129455566,66.48581314086914,12,24,1,2,24,0,3,-105.0,70.5,-47.5,5.0,3059008,15.2531,nan,3.059008,nan,2,648,578320,4,2479776,24,2,264,128,32,136,34,66,2,0,0,2
13,-47.5,57.5,24,12,0,0.0,0.0,0,0.0,57.5,0,562500.0,61.521114349365234,59.686553955078125,12,24,0,3,24,0,3,-105.0,70.5,-47.5,5.0,3348300,18.6014,nan,3.3483,nan,3,648,867480,6,2479776,24,3,396,192,48,204,51,99,3,0,0,3
