step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,2,1,0,0.0,0.0,0,0.0,57.5,0,562500.0,65.34734725952148,65.34734725952148,1,2,0,1,2,0,1,-105.0,70.5,-47.5,5.0,289160,0.28916,nan,0.28916,nan,1,0,289160,2,0,0,1,0,0,0,0,0,0,1,0,0,0
3,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,0,562500.0,62.0577278137207,62.0577278137207,2,4,0,1,4,0,1,-105.0,70.5,-47.5,5.0,289292,0.578452,nan,0.289292,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,0,0,1
4,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,0,562500.0,59.391929626464844,59.391929626464844,3,6,0,1,6,0,1,-105.0,70.5,-47.5,5.0,289292,0.867744,nan,0.289292,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,0,0,1
5,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,5,10,0,0,10,0,0,-105.0,70.5,-47.5,5.0,0,0.867744,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,5,10,0,0,10,0,0,-105.0,70.5,-47.5,5.0,0,0.867744,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,562500.0,62.40220642089844,62.40220642089844,5,10,0,1,10,0,1,-105.0,70.5,-47.5,5.0,289292,1.157036,nan,0.289292,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,0,0,1
8,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,5,10,0,0,10,0,0,-105.0,70.5,-47.5,5.0,0,1.157036,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,1,562500.0,40.47432940326794,37.59507789684092,6,12,1,2,12,0,3,-105.0,70.5,-47.5,5.0,578584,1.73562,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
10,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,1,562500.0,60.72374725341797,60.72374725341797,4,8,1,1,8,0,2,-105.0,70.5,-47.5,5.0,289292,2.024912,nan,0.289292,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,0,0,1
