step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
1,-100.0,5.0,692,346,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20409524,20.409524,nan,20.409524,nan,120,960,479556,17268960,2660048,120
2,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20391376,40.8009,nan,20.391376,nan,120,960,476784,17268960,2644672,120
3,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20445820,61.24672,nan,20.44582,nan,120,960,485100,17268960,2690800,120
4,-100.0,5.0,698,349,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20436746,81.683466,nan,20.436746,nan,120,960,483714,17268960,2683112,120
5,-100.0,5.0,704,352,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20463968,102.147434,nan,20.463968,nan,120,960,487872,17268960,2706176,120
6,-100.0,5.0,722,361,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20545634,122.693068,nan,20.545634,nan,120,960,500346,17268960,2775368,120
7,-100.0,5.0,728,364,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20572856,143.265924,nan,20.572856,nan,120,960,504504,17268960,2798432,120
8,-100.0,5.0,716,358,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20518412,163.784336,nan,20.518412,nan,120,960,496188,17268960,2752304,120
9,-100.0,5.0,708,354,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20482116,184.266452,nan,20.482116,nan,120,960,490644,17268960,2721552,120
10,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20391376,204.657828,nan,20.391376,nan,120,960,476784,17268960,2644672,120
11,-100.0,5.0,692,346,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20409524,225.067352,nan,20.409524,nan,120,960,479556,17268960,2660048,120
12,-100.0,5.0,684,342,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20373228,245.44058,nan,20.373228,nan,120,960,474012,17268960,2629296,120
13,-100.0,5.0,682,341,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20364154,265.804734,nan,20.364154,nan,120,960,472626,17268960,2621608,120
14,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20391376,286.19611,nan,20.391376,nan,120,960,476784,17268960,2644672,120
15,-100.0,5.0,704,352,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20463968,306.660078,nan,20.463968,nan,120,960,487872,17268960,2706176,120
16,-100.0,5.0,742,371,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20636374,327.296452,nan,20.636374,nan,120,960,514206,17268960,2852248,120
17,-100.0,5.0,736,368,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20609152,347.905604,nan,20.609152,nan,120,960,510048,17268960,2829184,120
18,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20618226,368.52383,nan,20.618226,nan,120,960,511434,17268960,2836872,120
19,-100.0,5.0,758,379,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20708966,389.232796,nan,20.708966,nan,120,960,525294,17268960,2913752,120
20,-100.0,5.0,766,383,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20745262,409.978058,nan,20.745262,nan,120,960,530838,17268960,2944504,120
21,-100.0,5.0,772,386,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20772484,430.750542,nan,20.772484,nan,120,960,534996,17268960,2967568,120
22,-100.0,5.0,794,397,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20872298,451.62284,nan,20.872298,nan,120,960,550242,17268960,3052136,120
23,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20799706,472.422546,nan,20.799706,nan,120,960,539154,17268960,2990632,120
24,-100.0,5.0,784,392,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20826928,493.249474,nan,20.826928,nan,120,960,543312,17268960,3013696,120
25,-100.0,5.0,794,397,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20872298,514.121772,nan,20.872298,nan,120,960,550242,17268960,3052136,120
26,-100.0,5.0,800,400,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20899520,535.021292,nan,20.89952,nan,120,960,554400,17268960,3075200,120
27,-100.0,5.0,804,402,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20917668,555.93896,nan,20.917668,nan,120,960,557172,17268960,3090576,120
28,-100.0,5.0,804,402,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20917668,576.856628,nan,20.917668,nan,120,960,557172,17268960,3090576,120
29,-100.0,5.0,808,404,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20935816,597.792444,nan,20.935816,nan,120,960,559944,17268960,3105952,120
30,-100.0,5.0,804,402,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20917668,618.710112,nan,20.917668,nan,120,960,557172,17268960,3090576,120
31,-100.0,5.0,816,408,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20972112,639.682224,nan,20.972112,nan,120,960,565488,17268960,3136704,120
32,-100.0,5.0,802,401,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20908594,660.590818,nan,20.908594,nan,120,960,555786,17268960,3082888,120
33,-100.0,5.0,788,394,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20845076,681.435894,nan,20.845076,nan,120,960,546084,17268960,3029072,120
34,-100.0,5.0,780,390,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20808780,702.244674,nan,20.80878,nan,120,960,540540,17268960,2998320,120
35,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20799706,723.04438,nan,20.799706,nan,120,960,539154,17268960,2990632,120
36,-100.0,5.0,790,395,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20854150,743.89853,nan,20.85415,nan,120,960,547470,17268960,3036760,120
37,-100.0,5.0,796,398,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20881372,764.779902,nan,20.881372,nan,120,960,551628,17268960,3059824,120
38,-100.0,5.0,780,390,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20808780,785.588682,nan,20.80878,nan,120,960,540540,17268960,2998320,120
