step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,2,1,0,0.0,0.0,0,0.0,57.5,1,562500.0,65.34734725952148,65.34734725952148,1,2,1,1,2,0,2,-105.0,70.5,-47.5,5.0,495952,0.495952,nan,0.495952,nan,1,144,289160,2,206648,2,1,0,0,0,0,0,0,1,0,0,0
3,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,0,562500.0,62.0577278137207,62.0577278137207,2,4,0,1,4,0,1,-105.0,70.5,-47.5,5.0,702876,1.198828,nan,0.702876,nan,1,288,289160,2,413296,4,1,132,64,16,68,17,33,1,0,0,1
4,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,1,562500.0,63.281057357788086,61.851173400878906,3,6,1,2,6,0,3,-105.0,70.5,-47.5,5.0,1198960,2.397788,nan,1.19896,nan,2,432,578320,4,619944,6,2,264,128,32,136,34,66,2,0,0,2
5,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,1,562500.0,34.599132864657925,33.30022802157374,5,10,1,2,10,0,3,-105.0,70.5,-47.5,5.0,1612544,4.010332,nan,1.612544,nan,2,720,578320,4,1033240,10,2,264,128,32,136,34,66,2,0,0,2
6,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,2,562500.0,36.66829721100673,34.72826282748698,5,10,2,2,10,0,4,-105.0,70.5,-47.5,5.0,1612544,5.622876,nan,1.612544,nan,2,720,578320,4,1033240,10,2,264,128,32,136,34,66,2,0,0,2
7,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,4,562500.0,34.84456631794032,34.21545804305305,5,10,4,2,10,0,6,-105.0,70.5,-47.5,5.0,1612544,7.23542,nan,1.612544,nan,2,720,578320,4,1033240,10,2,264,128,32,136,34,66,2,0,0,2
8,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,3,562500.0,33.20312065784915,32.21624772956525,5,10,3,2,10,0,5,-105.0,70.5,-47.5,5.0,1612400,8.84782,nan,1.6124,nan,2,576,578320,4,1033240,10,2,264,128,32,136,34,66,2,0,0,2
9,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,3,562500.0,43.21528712860146,20.570864032999815,6,12,3,3,12,0,6,-105.0,70.5,-47.5,5.0,2108484,10.956304,nan,2.108484,nan,3,720,867480,6,1239888,12,3,396,192,48,204,51,99,3,0,0,3
10,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,2,562500.0,61.15916506449381,60.5091552734375,4,8,2,3,8,0,5,-105.0,70.5,-47.5,5.0,1694972,12.651276,nan,1.694972,nan,3,504,867480,6,826592,8,3,396,192,48,204,51,99,3,0,0,3
11,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,3,562500.0,50.81743285612649,35.421273063348586,6,12,3,4,12,0,7,-105.0,70.5,-47.5,5.0,2397848,15.049124,nan,2.397848,nan,4,792,1156640,8,1239888,12,4,528,256,64,272,68,132,4,0,0,4
