step,mode,receiver_idx,new_rewards,replay_size,train_steps,loss
3,t2_b0,1,5,5,0,
3,t2_b0,57,5,5,0,
5,t2_b0,26,15,15,0,
5,t2_b0,58,15,15,0,
6,t2_b0,29,20,20,0,
7,t2_b0,54,25,25,0,
8,t2_b0,56,30,30,0,
8,t2_b0,59,30,30,0,
9,t2_b0,13,35,35,0,
9,t2_b0,17,35,35,0,
10,t2_b0,22,40,40,0,
11,t2_b0,0,5,5,0,
11,t2_b0,2,5,5,0,
11,t2_b0,3,5,5,0,
11,t2_b0,4,5,5,0,
11,t2_b0,5,45,45,0,
11,t2_b0,6,5,5,0,
11,t2_b0,7,4,4,0,
11,t2_b0,8,5,5,0,
11,t2_b0,9,45,45,0,
11,t2_b0,10,5,5,0,
11,t2_b0,11,5,5,0,
11,t2_b0,12,5,5,0,
11,t2_b0,14,5,5,0,
11,t2_b0,15,5,5,0,
11,t2_b0,16,5,5,0,
11,t2_b0,18,5,5,0,
11,t2_b0,19,5,5,0,
11,t2_b0,20,5,5,0,
11,t2_b0,21,5,5,0,
11,t2_b0,23,5,5,0,
11,t2_b0,24,5,5,0,
11,t2_b0,25,5,5,0,
11,t2_b0,27,5,5,0,
11,t2_b0,28,5,5,0,
11,t2_b0,30,5,5,0,
11,t2_b0,31,5,5,0,
11,t2_b0,32,5,5,0,
11,t2_b0,33,5,5,0,
11,t2_b0,34,40,40,0,
11,t2_b0,35,5,5,0,
11,t2_b0,36,5,5,0,
11,t2_b0,37,5,5,0,
11,t2_b0,38,5,5,0,
11,t2_b0,39,5,5,0,
11,t2_b0,40,5,5,0,
11,t2_b0,41,5,5,0,
11,t2_b0,42,5,5,0,
11,t2_b0,43,5,5,0,
11,t2_b0,44,5,5,0,
11,t2_b0,45,5,5,0,
11,t2_b0,46,5,5,0,
11,t2_b0,47,5,5,0,
11,t2_b0,48,5,5,0,
11,t2_b0,49,5,5,0,
11,t2_b0,50,5,5,0,
11,t2_b0,51,5,5,0,
11,t2_b0,52,5,5,0,
11,t2_b0,53,5,5,0,
11,t2_b0,55,5,5,0,
12,t2_b0,0,5,10,0,
12,t2_b0,2,5,10,0,
12,t2_b0,3,5,10,0,
12,t2_b0,4,5,10,0,
12,t2_b0,6,5,10,0,
12,t2_b0,7,4,8,0,
12,t2_b0,8,4,9,0,
12,t2_b0,10,5,10,0,
12,t2_b0,11,5,10,0,
12,t2_b0,12,5,10,0,
12,t2_b0,14,5,10,0,
12,t2_b0,15,5,10,0,
12,t2_b0,16,5,10,0,
12,t2_b0,18,5,10,0,
12,t2_b0,19,5,10,0,
12,t2_b0,20,5,10,0,
12,t2_b0,21,5,10,0,
12,t2_b0,23,5,10,0,
12,t2_b0,24,5,10,0,
12,t2_b0,25,5,10,0,
12,t2_b0,27,5,10,0,
12,t2_b0,28,5,10,0,
12,t2_b0,30,5,10,0,
12,t2_b0,31,5,10,0,
12,t2_b0,32,5,10,0,
12,t2_b0,33,5,10,0,
12,t2_b0,35,5,10,0,
12,t2_b0,36,5,10,0,
12,t2_b0,37,5,10,0,
12,t2_b0,38,5,10,0,
