step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,2,1,0,0.0,0.0,0,0.0,57.5,1,562500.0,67.51023864746094,67.51023864746094,1,2,1,1,2,0,2,-105.0,70.5,-47.5,5.0,496084,0.496084,nan,0.496084,nan,1,144,289160,2,206648,2,1,132,64,16,68,17,33,1,0,0,1
3,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,1,562500.0,41.43776295564845,39.402659911975206,2,4,1,2,4,0,3,-105.0,70.5,-47.5,5.0,992096,1.48818,nan,0.992096,nan,2,216,578320,4,413296,4,2,264,128,32,136,34,66,2,0,0,2
4,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,0,562500.0,39.43544982269673,38.47631620158829,3,6,0,2,6,0,2,-105.0,70.5,-47.5,5.0,1198672,2.686852,nan,1.198672,nan,2,144,578320,4,619944,6,2,264,128,32,136,34,66,2,0,0,2
5,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,562500.0,62.21919250488281,62.21919250488281,5,10,0,1,10,0,1,-105.0,70.5,-47.5,5.0,1322604,4.009456,nan,1.322604,nan,1,72,289160,2,1033240,10,1,132,64,16,68,17,33,1,0,0,1
6,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,4,8,0,0,8,0,0,-105.0,70.5,-47.5,5.0,826592,4.836048,nan,0.826592,nan,0,0,0,0,826592,8,0,0,0,0,0,0,0,0,0,0,0
7,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,0,562500.0,62.075748443603516,62.075748443603516,3,6,0,1,6,0,1,-105.0,70.5,-47.5,5.0,909308,5.745356,nan,0.909308,nan,1,72,289160,2,619944,6,1,132,64,16,68,17,33,1,0,0,1
8,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,3,6,0,0,6,0,0,-105.0,70.5,-47.5,5.0,619944,6.3653,nan,0.619944,nan,0,0,0,0,619944,6,0,0,0,0,0,0,0,0,0,0,0
9,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,0,562500.0,63.24755859375,63.24755859375,2,4,0,1,4,0,1,-105.0,70.5,-47.5,5.0,702660,7.06796,nan,0.70266,nan,1,72,289160,2,413296,4,1,132,64,16,68,17,33,1,0,0,1
10,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,1,562500.0,58.5391902923584,57.75834274291992,4,8,1,2,8,0,3,-105.0,70.5,-47.5,5.0,1405392,8.473352,nan,1.405392,nan,2,216,578320,4,826592,8,2,264,128,32,136,34,66,2,0,0,2
11,-47.5,57.5,22,11,0,0.0,0.0,0,0.0,57.5,1,562500.0,62.12598419189453,61.10982894897461,11,22,1,2,22,0,3,-105.0,70.5,-47.5,5.0,2852216,11.325568,nan,2.852216,nan,2,504,578320,4,2273128,22,2,264,128,32,136,34,66,2,0,0,2
12,-47.5,57.5,24,12,0,0.0,0.0,0,0.0,57.5,1,562500.0,66.48581314086914,66.48581314086914,12,24,1,1,24,0,2,-105.0,70.5,-47.5,5.0,2769500,14.095068,nan,2.7695,nan,1,432,289160,2,2479776,24,1,132,64,16,68,17,33,1,0,0,1
13,-47.5,57.5,24,12,0,0.0,0.0,0,0.0,57.5,0,562500.0,72.55777740478516,72.55777740478516,12,24,0,1,24,0,1,-105.0,70.5,-47.5,5.0,2769284,16.864352,nan,2.769284,nan,1,216,289160,2,2479776,24,1,132,64,16,68,17,33,1,0,0,1
14,-47.5,57.5,20,10,0,0.0,0.0,0,0.0,57.5,0,562500.0,60.42180824279785,60.42180633544922,10,20,0,1,20,0,1,-105.0,70.5,-47.5,5.0,2355988,19.22034,nan,2.355988,nan,1,216,289160,2,2066480,20,1,132,64,16,68,17,33,1,0,0,1
